gene_name,Z_0,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
Epha1,-0.12724026,-0.9874345,-0.084804356,0.028650928,0.095947765,0.16340363,-0.028738184,-0.0012553235,-0.13666297,-0.108858384,-0.08077083,-0.26114538,-0.45613158,0.11729157,-0.49160075,0.28377163,0.16170587,0.0676468,-0.061520047,-0.14513873
Cntnap2,-0.3371399,0.29200837,-0.08749302,-0.028814945,-0.015163444,0.40431428,-0.11861014,-0.2418582,-0.3928187,0.07721166,0.012091819,-0.72115123,-0.11426944,0.45387062,-0.6310564,-0.0075370786,0.22529945,-0.04863607,-0.056990348,0.20518394
Tmem176b,0.25573218,-0.10497112,-0.03657111,-0.13268164,0.19591348,0.19528754,0.053382333,-0.15080914,-0.097089924,0.087915115,-0.012097959,-0.35584897,-0.42419183,0.07344841,-0.07511847,0.087523095,-0.42099777,-0.47405493,0.21580473,-0.15223463
Tmem176a,0.20511737,-0.10737143,-0.029394073,-0.14236942,0.17988053,0.15070677,-0.003925636,-0.14407994,-0.11406675,0.0672893,0.02961915,-0.36573198,-0.37424228,0.025495527,-0.10898952,0.089651056,-0.49415243,-0.38916278,0.14107622,-0.18020381
Skap2,0.23906817,-0.18580195,-0.06566585,0.009920713,0.17734966,0.16209221,-0.10515634,-0.16161457,-0.22645295,-0.091113076,0.12261819,0.061750617,-0.22156467,0.12535596,-0.02805351,0.09845698,0.51117975,-0.37337983,-0.03623887,-0.059484515
Hoxa1,0.51718765,-0.14716586,-0.3532099,0.18538621,0.24281937,-0.044642143,-0.0935472,-0.42646682,-0.16291294,0.09971568,0.24336354,-0.22898874,0.06528755,-0.23479603,-0.43174723,0.058144763,0.43308792,-1.113977,-0.22162922,-0.014869926
Hotairm1,0.57641584,-0.024220102,-0.28240085,0.19067064,0.27738827,-0.015535814,0.08180188,-0.40360734,-0.19119279,0.057884075,0.1492727,-0.044222027,-0.0076988437,-0.21219389,-0.32735375,0.113263115,0.5008943,-1.0324972,-0.15093288,-0.16472766
Hoxaas3,0.19767918,-0.16624942,0.06585289,-0.031667426,-0.07936067,0.39205226,0.0016588611,-0.07414051,-0.5618163,-0.24725127,0.0689896,-0.40635166,-0.15351218,-0.44243798,-0.36172396,0.07337981,0.59096646,-1.5416932,-0.06827334,-0.3643527
Evx1os,0.077635504,-0.413592,0.26807827,0.3994821,-0.27400285,0.45594603,0.017017657,-0.010180682,0.03859522,-0.36795098,-0.02903583,-0.9357842,-0.34417516,-0.7118262,-0.31669232,0.23968723,-0.18996087,-0.11055255,-0.102844305,-0.39002463
Evx1,-0.06328998,-0.45248485,0.10859812,0.3896296,-0.24630289,0.54007083,-0.0099527035,-0.007398521,0.00060889614,-0.22870366,-0.03930159,-0.76404446,-0.31572893,-0.75218195,-0.4038326,0.21720235,-0.21021363,-0.022643572,-0.10174974,-0.37515932
Abcg2,-0.24816854,0.012014464,-0.016304288,-0.07298693,0.23811004,0.28676853,-0.18681635,-0.05390892,-0.31204638,-0.016508574,0.052769646,-0.19175778,-0.3529959,0.14743014,0.1707618,0.1322071,-0.06394378,-0.007533629,0.086966604,-0.058017526
Snca,-1.0821643,-0.06626918,0.02199173,-0.34280857,0.24150456,0.2050789,-0.21051686,-0.13733591,-0.23872907,-0.09204559,0.10041384,-0.9926561,0.22776434,0.543457,0.2500037,0.037286025,0.10568054,-0.3314396,0.0057883,-0.16585605
Gng12,0.099737205,-0.07783168,0.010324585,0.045063764,0.1261585,0.1896493,0.000852915,-0.026810447,-0.18377265,-0.18421634,-0.05355804,0.42307743,-0.06710978,0.13181445,0.11780086,0.11621722,-0.030733952,-0.006809686,-0.091045044,-0.07815653
Gadd45a,-0.3209334,0.19514966,-0.17451425,0.14629091,0.20636924,0.24024534,-0.22932677,0.081488274,-0.13704717,-0.0073057446,0.026597003,-0.3863485,-0.07292947,0.38497505,-0.27481192,0.114746556,0.3077304,-0.09683205,0.09064107,-0.064930476
St3gal5,-0.06376777,0.33898944,-0.15988135,-0.3054657,0.2204141,0.14971119,-0.19285668,-0.06510144,-0.23063724,-0.07952819,0.046297126,-0.33918506,0.2873576,0.017691847,0.058311976,0.21037036,0.27048936,0.010904428,-0.053353228,-0.11606297
Tmem150a,0.06607334,-0.09356745,0.035777796,0.056805093,0.1225229,0.21536072,-0.01836674,-0.11672601,-0.21317631,-0.148562,0.053694583,0.3383574,-0.0981824,0.2576965,0.09979941,0.13871038,-0.4325104,-0.1763604,-0.1114459,0.06264445
Rnf181,-0.05329912,-0.04771457,0.015280943,0.08856808,0.17452973,0.20937306,-0.070977785,-0.09684986,-0.2071909,-0.119327486,0.021963447,0.029337589,-0.1423101,0.323211,0.08592617,0.1617388,-0.10253522,0.011014917,-0.020243231,-0.06279455
